weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_avg_BODY_att,B_avg_CLINCH_att,B_avg_DISTANCE_att,B_avg_GROUND_att,B_avg_HEAD_att,B_avg_KD,B_avg_LEG_att,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_CLINCH_att,B_avg_opp_DISTANCE_att,B_avg_opp_GROUND_att,B_avg_opp_HEAD_att,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_Stance_Switch,B_Stance_Southpaw,B_Stance_OpenStance,R_Stance_Southpaw,R_Stance_Orthodox,R_Stance_Switch,R_Stance_OpenStance
3,3,0,0,-0.09999999999999998,0.5,-0.08713508713508711,-0.34358974358974365,-0.2032671629445823,-0.2,-0.4444444444444444,-0.7000000000000002,-0.8,-0.17921268762390258,-0.11100000000000004,0,0.020000000000000018,0,-0.22932330827067676,-2,0,0.5555555555555556,0.2,0.10303030303030297,-0.04761904761904767,0.1271298750473306,0.09999999999999998,-0.65,-1.1,-0.4,0.10294703305455999,0.04299999999999998,-0.8,0.5714285714285714,0.4,-0.0571076647444152,-8,-251.29999999999995,0,0,-1,-1,-1,0,0,-3,-5.0800000000000125,-10.159999999999997,0,0,0,0,1,0,0,0
7,3,0,-1,-0.20000000000000007,-0.32367149758454106,-0.16632398753894073,-0.22017045454545447,-0.12179071040338074,-0.4,-0.19999999999999996,0.4,0.4,-0.15175932894036448,-0.15599999999999997,0,-0.10000000000000003,0.16799999999999998,-0.10765275257108292,-1,1,0.1427364864864865,-0.1428571428571429,0.1467011723621851,0.16550116550116545,0.08304853041695143,-0.2,-0.19999999999999996,-1.1999999999999997,0.4,0.13713171818434983,-0.008000000000000007,0.6000000000000001,-0.10087719298245612,0.09399999999999997,0.18024010382868266,-2,-52.59999999999991,0,0,-1,1,-2,1,0,-1,2.5400000000000205,2.539999999999992,0,0,0,0,0,1,0,0
10,3,-1,0,0.2288461538461538,0.10690633869441823,0.021360564353016642,0.6666666666666666,0.10452571108308811,0,0.17456896551724144,0,0,0.14876678507545416,0.09700000000000003,0.2,0.022222222222222227,0.10300000000000001,0.16950633464394932,1,1,0.03397190293742014,0.2040770609318996,-0.05484070588737383,-0.14765694076038893,-0.0568563331153259,-0.5,-0.15967365967365965,1.1,0,-0.03431096070689987,-0.06899999999999995,0.2,0.6666666666666666,0.724,0.062112351586035786,9,259.4,-1,0,0,2,0,0,0,2,0,-12.700000000000017,0,0,0,0,0,1,0,0
7,3,0,3,-0.10440613023825795,-0.09615384605399413,-0.04926459109564896,-0.0173250174124574,-0.040866510615296114,0.05555555599999999,0.028248587163410943,0.9444444439999999,0,-0.0487566843862558,-0.040000000000000036,-0.22222222299999994,-0.30555555607499996,0.12555555599999998,-0.028077854696696436,1,-2,0.08826627333427428,0.283430232500807,-0.06513767300791495,-0.17832167836969537,-0.08089080456243414,0.05555555599999999,-0.1071022728966029,-1.555555556,0,-0.057983851724080604,-0.132777778,-0.222222222,-0.3111111111333333,-0.12000000000000001,-0.020074437789010025,-8,-30.555555599999934,1,-1,0,-1,-1,2,0,-1,5.079999999999984,12.699999999999989,0,0,0,0,1,0,0,0
7,3,0,0,0.28113804018483235,0.37499999987375,0.13986496867657872,-0.7142857141020409,0.1657879590873535,-0.285714286,0.20000000003499996,0.6190476189999999,0.523809524,0.15465735769089506,0.15285714299999997,0,0.06666666676222222,0.248571429,0.16347012259644578,-2,-1,0.2132784957910453,-0.09502923992959367,0.07864214606378439,-0.255952380890625,0.07611014163372459,0.523809524,0.22000000007559994,-0.095238096,-0.142857143,0.08129629627800422,0.09238095299999999,0.19047619000000002,-0.012820512926199845,-0.085238096,0.05000661256711525,-11,-80.19047620000003,0,0,1,-4,0,0,0,-3,10.160000000000025,17.78,15,0,0,0,1,0,0,0
6,3,1,-1,0.7543859649473684,0.7397260271945957,0.239461883278972,0.14415584419257887,-0.1629353234206764,0.333333333,0.3536585365782272,1.833333333,0,0.01946721311475408,0.026666666999999977,0.166666667,0.44827586216884663,0.393333333,0.20522510703563623,1,3,0.8860759493959302,0.8421052631246537,0.2126865671641791,0.7499999999464285,0.3537699923412109,0.333333333,-0.13953488371444023,0.166666667,0,0.348765432037037,0.35833333300000003,0.666666667,0.166666667,0.166666667,0.4362302483831255,12,427.66666669999995,0,0,0,3,-1,0,0,2,0,-2.539999999999992,0,0,0,0,0,1,0,0
8,3,0,-3,0.29999999998499993,-0.06060606063085405,0.1383253224580432,0.03921568619478655,0.13506047487381995,1,-0.26686217017226377,-1.5555555559999998,-0.111111111,0.1219937260066849,0.13555555599999997,1.3333333330000001,-0.3116883117329398,-0.34333333299999996,0.1001151527016867,-3,-3,-0.29523809510585036,-0.16666666691666665,0.20721554119791252,-0.6948051949152472,0.04205128210070219,0,0.16269841264285712,0.11111111100000004,0,0.030808080909090874,0.13999999999999996,-0.333333333,0.037878787441287864,0.283333333,-0.08781452489524655,-18,265.77777779999997,-1,0,0,-1,0,-4,0,-5,-7.6200000000000045,-17.78,0,0,0,0,0,1,0,0
3,3,0,-1,-0.09999999999999998,-0.5833333333333333,-0.13324561403508767,-0.1146341463414634,0.055689176688251574,0,-0.10174418604651159,4,-0.5,-0.09854714912280704,-0.11000000000000004,0,0.045454545454545414,0.29000000000000004,-0.12283680175246436,-1,0,-0.025000000000000022,0.30000000000000004,0.16843472613119725,0.5128205128205128,0.41710367083501415,0,0,-0.5,-0.5,0.25147058823529406,0.24499999999999994,1,-0.13333333333333333,-0.135,0.17878720071604387,-3,0,-1,0,-2,1,0,0,0,-1,-2.539999999999992,2.539999999999992,-10,1,0,0,0,1,0,0
8,3,0,1,0.2504012841091492,0.40963855421686746,0.33201896052686775,0.21081081081081088,0.40108878027429234,0.2,0.16417910447761197,2,-0.1,0.3446836674050462,0.3499999999999999,-0.6,0.65,0.281,0.31119762699295517,0,-3,-0.030303030303030276,-0.5757575757575758,-0.22657227784730913,0.21212121212121204,-0.26785761475648107,0,0.01937046004842624,0,-0.2,-0.2284603684299476,-0.3340000000000001,-0.3,0.028985507246376774,-0.09399999999999997,-0.17644086758814825,-17,-8.799999999999955,0,0,0,-3,1,-3,0,-5,0,-2.539999999999992,0,0,0,0,1,0,0,0
3,3,2,0,0.14309056950276688,0.11111111111111116,0.17037037039215686,0.07017543859649122,0.1641801509133088,0,0.08333333342708338,-0.166666667,0,0.211501744703733,0.21166666700000003,-0.25,0.5833333334999999,0.34833333299999997,0.2465541721954876,-1,2,0.28095238097619046,-0.001638001668304745,0.12162723117839347,0.2565573771166803,0.2224311666096507,-0.166666667,0.10014443914831228,1.5,0,0.14195583603409329,0.19416666699999996,0.25,0.32463768122608694,0.174166667,0.23464875926146578,0,-313.33333330000005,0,0,1,-1,0,-1,0,-1,15.23999999999998,10.159999999999997,0,0,1,0,1,0,0,0
8,3,1,-1,0.08973438620576313,0.07725607724707928,0.09208952145039823,-0.04904851249786457,0.03211009183507285,0.532608696,-0.028416266688823466,-0.244565217,0.043478261,0.09015748027916304,0.14798913000000002,0.260869565,0.4166666709791667,0.005434782999999999,0.0787766947490326,14,2,0.005270092212121269,0.051999999969087995,0.04205463600571008,0.05994184741320285,0.046243122044118457,-0.244565217,-0.12844451136789248,-1.092391304,0.043478261,0.07139641312068923,0.003967390999999987,0.04891304299999999,-0.3148820325563807,-0.14266304300000002,0.13158234069758296,41,115.88586959999998,13,0,0,2,8,3,0,13,7.6200000000000045,0,0,0,1,0,0,0,1,0
9,3,0,0,-0.24211690945970854,-0.0050000000000000044,-0.040309659805295106,-0.5305164319248826,0.009137517186735389,-0.52,0.22510822510822515,-0.92,-0.08,-0.06545454545454543,-0.1064,-0.24,-0.65,-0.3196,-0.12196990734896868,-6,-10,-0.13357843137254888,-0.136734693877551,0.07511901686533562,-0.7160493827160492,0.03262798885140089,-0.24,0.0014506769825918253,-1.8,-0.12,0.025354969574036434,-0.0040000000000000036,-0.4,-0.3728813559322034,-0.3076,-0.044956707031032606,-58,230.44000000000005,-1,0,-1,-4,-7,-1,-1,-14,10.159999999999997,2.539999999999992,0,0,0,0,0,1,0,0
10,3,2,-2,0.014844455918419985,0.053089244851258544,0.00821603917796021,-0.1586206896551724,-0.015780633402269595,0,0.028846153846153855,-1.25,-0.5,0.015179357895696022,0.036250000000000004,0,-0.25,-0.28125,0.04585786883923526,1,2,0.20337301587301582,0.15398550724637683,-0.04327795616361857,0.39814814814814814,-0.0031727953140253673,0,0.037449392712550544,0.25,-0.25,0.01592133953182212,0.018750000000000044,0.125,0.0974025974025974,0.028749999999999998,0.0708177396901159,9,-197.625,1,0,1,0,1,0,0,2,-10.159999999999997,-10.159999999999997,0,0,0,0,0,1,0,0
6,3,0,0,0.32941176465868516,0.2442922374243448,0.04093799684266941,0.08695652171140511,0.1248874886934182,-0.363636364,-0.9374999999570311,4.818181818,0.727272727,0.11655353681197411,0.13454545499999998,0.818181818,-1,-0.090909091,0.08174525198808269,-1,-5,0.2597402597142857,0.18229166668277996,0.05451055667213134,-0.0995670997619047,0.05595726656323324,-0.090909091,0.23333333336388895,0.2727272730000001,-0.181818182,0.06327836514953017,0.08272727299999999,0.636363636,0.018808777481785777,0.13272727299999998,0.0955135090696797,-21,323.81818180000005,0,0,-1,0,-4,0,0,-5,7.6200000000000045,10.159999999999997,0,0,0,0,1,0,0,0
7,3,2,0,0.19411764729238756,0.2931034482829965,-0.0754625120175515,-0.20833333337500004,-0.07625598076970141,0.333333333,0.7096774195515088,0,0,-0.055555555528455314,-0.06666666700000001,-3.333333333,0.40000000012,0.276666667,-0.09888670609059202,0,2,-0.14743589742702157,-0.18902439035633545,0.07957317070814995,-0.1022727272424242,0.0020080321686746228,0.333333333,0.08333333333333337,-3.6666666670000003,0,-0.1130086442821,-0.07000000000000006,-1,-1.8750001551381956e-10,-0.166666667,-0.07848673049872767,4,-326.66666669999995,0,0,0,0,0,0,0,0,5.0800000000000125,0,0,0,0,0,0,1,0,0
7,3,-6,0,-0.2060142078290571,-0.049063670377912816,-0.17152989906246374,-0.11345105577490777,-0.19306791604347423,-0.03846153799999999,-0.014111881165507878,0.26923077000000006,0,-0.16364176902927158,-0.17076922999999994,0.07692307599999998,-0.21361592800973866,0.026538461999999985,-0.17391691581255664,1,-2,0.014806356394518438,0.0407439814217756,-0.09208649507356553,0.14523893411317312,-0.06390539289440228,0.153846154,0.03557692303093751,-0.423076923,-0.269230769,-0.09447127857819382,-0.090769231,0.730769231,0.024578136510645388,-0.10730769200000001,-0.14586655413244848,-7,-85.42307690000007,-11,0,3,4,-4,0,-1,2,-5.079999999999984,0,0,0,0,0,0,1,0,0
7,5,0,1,0.11835427441653579,0.03778793070480946,0.06874680915602871,-0.004572921686066267,0.0031248497252329144,0.01666666699999997,-0.05860465060855313,0.46666666700000003,0.1,0.08220641780144666,0.05499999999999999,0.116666667,0.08486140720808466,0.09033333299999999,0.09667888912165268,3,5,0.0061543870763262065,0.34733274389940827,0.10715589628977662,-0.1949217257357967,0.05957691506744456,0.233333333,0.01608551263423552,-1.0499999999999998,0.033333333,0.10873526097398667,0.08416666700000003,-0.316666667,-0.1474842769517622,-0.08266666600000001,0.09642418420477039,30,-188.81666660000008,-1,0,-1,2,6,6,0,13,7.619999999999976,7.619999999999976,0,0,0,0,0,1,0,0
8,3,-2,3,-0.012449799025676112,0.06212121223010092,-0.006930315097643747,0.2165012407077329,-0.0644245774729223,-0.357142857,-0.0149253730345289,-0.5,0.3,0.0023345048303027305,-0.02157142900000003,-0.214285714,0.04814814802812073,0.163857143,-0.04606682328730305,-2,-3,0.026177024596183207,0.006462920390588933,-0.0724807367629337,-0.08571428565206363,-0.0564222632173913,-0.25714285699999995,0.016290726912280618,0.8,0.1,-0.047307132305785815,0.08742857100000001,0.3,0.4,0.304,-0.07247736466297316,6,477.15714289999994,1,0,1,3,-4,-1,0,-1,0,-5.0800000000000125,0,0,0,0,1,0,0,0
3,3,-3,1,-0.11188049821444135,-0.00454545454545463,-0.03793149315929212,-0.03595255744996284,-0.003257368810610284,0.625,0.08404235205142763,-0.475,-0.0625,-0.04219843948417412,0.015875000000000028,0.07500000000000001,0.42105263157894735,0.021250000000000047,-0.03973528298685869,-3,-5,-0.1808693589515507,-0.20886282176604754,-0.009847542400776843,-0.06858054226475285,-0.017346083869976214,0.3375,-0.04005713575953296,-1.75,-0.125,-0.039436277316136525,-0.01475000000000004,-0.5625,-0.2387955182072829,-0.20287500000000003,-0.10379707608735278,-33,-151.53750000000002,0,0,0,-4,-3,1,0,-6,7.6200000000000045,12.699999999999989,0,0,0,0,0,1,0,0
1,3,0,-1,0.12606837609615396,-0.12280701771929814,-0.24750572958582073,-0.26135265687779874,-0.1615740740972222,0.333333333,-0.09999999992800002,-0.1666666670000001,0,-0.20164081518986354,-0.20500000000000007,0,0.21509433952545381,0.313333333,-0.07612893455209846,-1,2,0.2202111611915536,0.30555555569978643,-0.10924417604066566,0.46666666684666663,-0.032467532538176136,0,-0.12307692289692318,0.166666667,0.333333333,0.008610012344480444,0.02166666700000003,-0.166666667,-0.37142857130857143,-0.236666667,0.0248764361399868,3,0,-1,0,0,-1,0,0,0,-1,0,10.159999999999997,0,0,0,0,0,1,0,0
1,3,0,0,-0.010695187165775444,0.050000000000000044,-0.04340802501302765,-0.26666666666666666,-0.07751164337990685,-0.5,-0.33333333333333337,-0.5,-0.5,-0.04658733979870233,-0.04999999999999999,0,0,0,-0.026726395290960603,-1,0,0.2222222222222222,0.5,0.09186720142602495,-0.4,0.12968280010937927,-0.5,-0.12202380952380953,1.5,0,0.08606288896167702,0.065,0,0.7222222222222222,0.625,0.0764894728983127,-3,91,0,0,0,-1,0,0,0,-1,-2.539999999999992,5.0800000000000125,0,0,0,0,0,1,0,0
3,3,0,0,0.16666666666666674,-0.33333333333333337,-0.09128787878787875,0,-0.11351351351351352,0,0.08333333333333337,0,0,-0.07234042553191494,-0.08000000000000002,0,0,0,-0.06666666666666671,0,0,0,-0.18181818181818177,-0.09339356295878037,-0.5652173913043478,-0.2084223375038145,0,-0.5,-6,0,-0.10499316005471959,-0.10000000000000003,-1,-0.5,-0.5,-0.1274717514124294,1,517,0,0,0,0,0,0,0,0,-10.159999999999997,-7.6200000000000045,-10,0,0,0,0,0,1,0
8,5,0,2,8.443093232015642e-4,0.11887727024487438,-0.015042351316013836,-0.10543766571917601,0.04237311503140018,-0.25,-0.18061897528767124,-0.25,-0.166666667,0.027859298090472717,0.0070833330000000805,-0.291666667,0.1751336899573408,0.21666666700000003,0.015733220379677837,-2,-1,0.02246181491464505,0.008252062866484167,-0.058979510456685036,-0.06000000000000005,-0.12389357082412478,-0.125,-0.1666666665333334,0.75,0.041666667000000004,-0.03450651568093194,-0.08958333300000004,1,-0.06666666533333332,0.08291666700000001,-0.051590909157386344,-10,-131.1666667,0,0,0,0,-1,-2,0,-3,0,12.700000000000017,0,0,0,0,0,1,0,0
5,3,1,0,-0.30000000000000004,-0.22077922077922074,0.010416666666666685,0,-0.052419354838709686,0,-0.33333333333333337,0,0,-0.021306818181818177,0.0050000000000000044,0,0,0,0.22307692307692306,0,1,1,-0.05555555555555558,-0.07,-0.49122807017543857,0.006976744186046491,0,0,0,0,0.033333333333333326,0.02999999999999997,-0.5,-0.08333333333333331,0.23999999999999994,0.031576266870384506,1,-98.5,0,0,0,0,0,0,0,0,-7.6200000000000045,-15.23999999999998,-12,1,0,0,0,1,0,0
9,3,0,0,-0.19545028555704969,-0.04130966933690705,-0.014725851014370739,0.07551020410412335,-0.0817451234051852,0.42063492100000005,0.08906882575831165,-0.24603174599999988,-0.071428571,-0.09162741174799188,-0.03285714299999998,-0.5,0.1787439618588531,0.05547618999999998,-0.14492818984764289,-1,-1,-0.1869674187710989,0.0024544181638708196,-0.0032192790777693103,-0.038491751505619454,-0.14115398612898533,0.19047619000000002,0.10884353745578235,-1.055555556,-0.246031746,-0.12983347823087127,-0.17420634900000004,-0.246031746,-0.10356536509861042,-0.19523809600000003,-0.22280974532780462,-10,79.1825397,0,0,1,-2,0,-3,0,-4,-2.539999999999992,-12.699999999999989,0,0,0,0,0,1,0,0
1,3,0,1,0.1491448690323871,0.08496732049653977,0.0678544256799487,-0.04943019950427352,0.14552541627607213,-0.13333333300000005,0.20000000000749996,1.4000000000000001,0.266666666,0.1187539841097891,0.06266666700000001,0.2,0.06666666729999993,0.333333333,0.1488675897640786,-3,-3,-0.010859728584990846,-0.32222222204666673,-0.0805138162491334,0.08312128905236671,-0.04945597161974896,0,-0.2886178858445122,-0.6,0,-0.09188034184294863,-0.08733333299999996,0.39999999999999997,0.6909090910280992,0.793333333,-0.12575013645253685,-33,-326.66666660000004,0,0,-1,-4,-4,0,0,-9,20.319999999999993,7.6200000000000045,0,1,0,0,0,1,0,0
5,3,-3,1,-0.09189189184198687,0.1401845846901203,0.036772861722333905,0.2617866005399824,0.1613450413212144,-0.357142857,-0.09760087246713889,0.785714286,-0.035714286,0.0907385577460118,0.046071429,-0.178571429,0.6400000005376,0.871428571,0.054999205213797475,-6,-12,-0.015151515151515138,-0.1499723299211938,0.09698580127825707,-0.6726457399165076,-0.038071895393438415,-0.25,-0.031375703988124504,-0.785714286,-0.107142857,0.024638467536002517,0.050714286,-0.142857143,-0.19999999991384615,-0.135,-0.054141501251559976,-56,321.8214286,-5,0,-1,-4,-8,-2,0,-15,0,0,25,0,0,0,0,1,0,0
7,3,0,0,-0.06401089566077078,0.2460317462088687,0.008309699491954259,-0.11883408144442376,0.03638764354505464,-0.096774194,-0.06775700916506355,-1.387096774,-0.161290323,-0.008040251275287624,-0.03311828,-0.9569892480000001,-0.4137931035834324,-0.422580645,-0.06841513032080504,-6,-11,-0.20723684210157334,-0.3510071088753597,0.06267583990213893,-0.1837606837034298,0.03404633339101959,0.602150538,0.26724137930112957,1.161290323,-0.225806452,-0.003868192354020916,-0.04999999999999999,-0.18279569900000003,0.09722222206577935,0.21010752699999996,-0.033646173793383694,-67,-360.01075269999995,0,0,-2,-6,-3,-6,0,-17,15.240000000000009,7.6200000000000045,0,0,1,0,1,0,0,0
13,3,0,0,-0.17500803793969055,-0.03574444129247201,-0.07874624912409078,0.28000000005759995,-0.07711442783535871,-0.222222222,0.11570247896386854,-0.111111111,-0.111111111,-0.11060358902293699,-0.08388888899999997,0,-0.5999999989200001,-0.277777778,-0.1452933978988874,-1,-4,0.1696078432258361,0.2964446063529458,0.06997480905916087,0.29411764727681666,0.13298169927307346,0,0.09099616865594862,-0.611111111,0,0.11333439877603918,0.128888889,-0.222222222,-0.14772727265289254,-0.15444444400000001,0.08811314294833733,-17,152.11111110000002,0,0,0,-3,0,0,0,-3,-5.0800000000000125,0,0,0,0,0,0,1,0,0
9,3,0,0,0.042587256364607584,0.2695810562276204,0.006561085997869309,-0.15239591514336803,0.15739754013624013,0.214285715,-0.08651109884455799,-0.21428571400000007,-0.071428571,0.08787510125172843,0.10214285700000003,0.142857142,0.419141913882753,-0.16000000000000003,0.08898206209720722,-2,-1,-0.0018315018461538823,0.30158730141785384,-0.028605025106092308,0.1347886350005948,0.15060109280015765,0.35714285700000004,-0.06025934395228538,0.928571428,0.142857143,0.13400900926139336,0.17428571399999998,0.071428572,0.1296296298600823,-0.02928571399999999,0.20837045813360405,-27,-449.3571428,1,0,-1,-4,1,-2,0,-6,7.6200000000000045,-2.539999999999992,0,0,0,0,0,1,0,0
