id,gender,race
314,m,indian
315,m,white
316,m,indian
317,m,black
318,m,white
319,m,black
320,m,white
321,m,white
322,m,indian
323,m,white
324,m,white
325,f,indian
326,m,black
327,m,white
328,m,black
329,m,black
330,m,white
331,m,indian
332,m,black
333,f,white
334,m,white
335,m,white
336,f,indian
337,m,indian
338,f,white
339,m,white
340,m,indian
341,m,white
342,m,black
343,m,white
344,m,white
345,m,white
346,m,white
347,m,black
348,m,black
349,f,indian
350,m,black
351,m,white
352,f,indian
353,m,white
354,m,white
355,m,black
356,m,white
357,m,indian
358,m,white
359,m,indian
360,m,black
361,m,white
362,m,white
363,m,white
364,m,black
365,m,white
366,m,white
367,m,white
368,m,indian
369,f,black
370,m,white
371,m,white
372,m,hispanic
373,m,white
374,f,white
375,m,white
376,m,white
377,m,indian
378,m,black
379,m,black
380,m,indian
381,m,hispanic
382,m,white
383,m,black
384,m,indian
385,m,indian
386,f,white
387,m,white
388,m,black
389,m,black
390,m,white
391,m,black
392,m,white
393,m,black
394,m,white
395,m,white
396,m,black
397,m,white
398,f,indian
399,m,white
400,m,white
401,m,white
402,m,white
403,m,black
404,m,white
405,f,indian
406,f,indian
407,m,white
408,m,white
409,f,indian
410,f,indian
411,m,white
412,m,white
413,m,indian
414,m,white
415,m,white
416,m,indian
417,m,black
418,f,indian
419,f,indian
420,f,indian
421,m,indian
422,m,white
423,m,indian
424,f,indian
425,m,white
426,m,black
427,m,white
428,m,indian
429,m,indian
430,f,white
431,m,indian
432,m,indian
433,m,white
434,m,black
435,m,white
436,m,white
437,m,indian
438,f,white
439,m,indian
440,m,black
441,m,white
442,m,white
443,m,black
444,m,indian
445,f,black
446,f,indian
447,f,white
448,f,black
449,m,indian
450,m,black
451,m,white
452,m,black
453,m,black
454,m,white
455,f,white
456,m,black
457,m,indian
458,f,indian
459,m,white
460,m,white
461,m,white
462,m,black
463,m,indian
464,m,black
465,m,indian
466,m,white
467,f,indian
468,m,black
469,m,black
470,m,indian
471,f,white
472,m,black
473,m,black
474,m,black
475,m,white
476,m,black
477,f,indian
478,m,white
479,m,black
480,f,black
481,m,black
482,m,white
483,m,black
484,m,indian
485,m,white
486,m,white
487,m,indian
488,m,black
489,m,black
490,m,white
491,f,black
492,f,white
493,m,white
494,m,indian
495,m,white
496,f,black
497,m,white
498,m,black
499,m,white
500,m,indian
501,m,black
502,m,hispanic
503,m,black
504,m,hispanic
505,m,white
506,m,white
507,m,black
508,m,black
509,m,white
510,m,hispanic
511,m,white
512,m,white
513,m,white
514,m,white
515,m,black
516,f,white
517,f,indian
518,m,indian
519,m,black
520,m,white
521,m,white
522,m,black
523,m,indian
524,m,white
525,m,black
526,m,black
527,m,black
528,m,white
529,m,hispanic
530,f,white
531,m,white
532,m,indian
533,m,indian
534,m,white
535,m,white
536,m,white
537,m,white
538,m,hispanic
539,m,black
540,m,white
541,m,indian
542,m,white
543,m,black
544,m,white
545,f,black
546,m,black
547,m,black
548,m,black
549,m,white
550,m,indian
551,m,white
552,m,indian
553,m,white
554,m,indian
555,m,white
556,m,white
557,m,white
558,m,indian
559,m,black
560,m,black
561,m,black
562,m,white
563,m,white
564,m,black
565,m,white
566,m,white
567,f,black
568,m,white
569,m,white
570,f,indian
571,m,white
572,f,white
573,m,white
574,f,indian
575,m,white
576,m,black
577,m,black
578,m,black
579,f,indian
580,m,white
581,f,white
582,m,black
583,m,white
584,m,white
585,m,white
586,m,white
587,m,white
588,f,indian
589,m,black
590,f,indian
591,m,white
592,m,black
593,m,white
594,m,indian
595,m,black
596,f,indian
597,f,black
598,m,indian
599,m,black
600,m,white
601,m,white
602,m,white
603,m,white
604,m,white
605,m,black
606,m,white
607,m,black
608,m,white
609,m,black
610,m,black
611,m,white
612,m,black
613,f,indian
614,m,black
615,m,black
616,m,white
617,m,white
618,f,white
619,m,black
620,m,white
621,m,indian
622,m,black
623,m,black
624,m,black
625,m,white
626,m,black
627,f,indian
628,m,indian
629,f,indian
630,f,indian
631,m,white
632,m,white
633,m,hispanic
634,m,indian
635,m,white
636,f,indian
637,f,white
638,m,white
639,m,white
640,m,black
641,m,black
642,f,indian
643,m,white
644,m,white
645,m,white
646,m,white
647,m,white
648,m,white
649,m,hispanic
650,m,black
651,f,indian
652,f,black
653,f,indian
654,m,indian
655,m,white
656,m,black
657,m,white
658,m,white
659,m,black
660,m,indian
661,m,white
662,m,black
663,m,white
664,m,white
665,m,black
666,f,indian
667,m,white
668,m,white
669,f,indian
670,m,white
671,m,white
672,m,white
673,m,black
674,m,white
675,f,indian
676,f,indian
677,m,white
678,m,white
679,m,white
680,m,white
681,m,white
682,m,white
683,m,black
684,m,white
685,m,white
686,m,indian
687,m,black
688,m,black
689,m,white
690,m,white
691,m,white
692,f,indian
693,m,black
694,m,black
695,m,black
696,m,black
697,m,black
698,m,black
699,m,white
700,m,white
701,f,white
702,f,indian
703,m,black
704,m,indian
705,m,black
706,m,white
707,m,black
708,m,white
709,m,indian
710,m,indian
711,m,indian
712,m,black
713,m,white
714,m,black
715,m,indian
716,m,white
717,m,black
718,f,indian
719,m,indian
720,m,white
721,f,indian
722,m,black
723,m,white
724,m,black
725,m,white
726,f,white
727,m,indian
728,m,black
729,m,white
730,m,white
731,f,black
732,m,black
733,m,white
734,m,white
735,f,indian
736,m,indian
737,m,white
738,m,indian
739,m,hispanic
740,m,white
741,m,white
742,m,white
743,m,black
744,m,white
745,m,black
746,m,white
747,m,black
748,m,white
749,m,black
750,m,black
751,m,white
752,m,indian
753,f,white
754,m,white
755,m,white
756,m,white
757,m,white
758,f,indian
759,m,indian
760,m,indian
761,m,white
762,f,black
763,m,white
764,m,black
765,f,indian
766,m,black
767,f,indian
768,m,white
769,m,white
770,m,white
771,m,white
772,m,white
773,m,black
774,m,indian
775,f,indian
776,m,indian
777,m,white
778,m,black
779,m,white
780,m,indian
781,m,white
782,m,white
783,m,white
784,f,white
785,m,white
786,m,black
787,m,white
788,m,black
789,m,indian
790,m,black
791,m,black
792,m,black
793,m,hispanic
794,m,white
795,m,black
796,m,indian
797,m,indian
798,m,white
799,m,black
800,m,white
801,m,black
802,m,black
803,m,white
804,f,indian
805,m,white
806,f,white
807,m,indian
808,m,black
809,m,white
810,m,indian
811,m,white
812,f,white
813,f,indian
814,m,black
815,m,hispanic
816,f,white
817,m,white
818,f,white
819,f,indian
820,m,white
821,f,white
822,f,indian
823,f,indian
824,f,indian
825,m,white
826,m,black
827,f,indian
828,f,indian
829,m,white
830,m,white
831,m,white
832,m,indian
833,m,white
834,m,indian
835,f,indian
836,f,black
837,m,white
838,m,indian
839,f,indian
840,m,white
841,m,white
842,m,black
843,f,white
844,m,indian
845,m,black
846,m,black
847,m,indian
848,m,white
849,m,white
850,m,white
851,m,white
852,m,black
853,f,indian
854,f,white
855,m,indian
856,m,indian
857,m,white
858,m,white
859,m,white
860,m,white
861,m,white
862,m,indian
863,m,white
864,m,white
865,m,black
866,m,black
867,m,black
868,m,indian
869,m,black
870,m,white
871,f,white
872,m,black
873,m,black
874,m,white
875,m,white
876,m,black
877,f,indian
878,f,black
879,m,white
880,m,black
881,m,indian
882,m,black
883,m,black
884,m,white
885,m,black
886,m,white
887,m,white
888,m,indian
889,f,white
890,m,indian
891,m,white
892,m,black
893,m,indian
894,m,black
895,m,white
896,m,white
897,m,indian
898,m,black
899,m,black
900,m,black
901,m,white
902,m,black
903,m,white
904,m,black
905,m,white
906,m,black
907,m,white
908,m,indian
909,f,indian
910,m,white
911,f,white
912,m,white
913,m,white
914,m,black
915,m,black
916,m,white
917,m,white
918,m,black
919,f,indian
920,m,white
921,m,white
922,m,black
923,m,white
924,f,indian
925,m,white
926,m,black
927,m,white
928,m,black
929,f,indian
930,m,white
931,m,white
932,m,white
933,m,white
934,f,indian
935,m,black
936,m,white
937,m,white
938,m,white
939,f,white
940,f,indian
941,m,white
942,m,indian
943,m,white
944,m,indian
945,m,white
946,m,black
947,m,black
948,m,white
949,m,black
950,m,black
951,m,white
952,m,white
953,f,indian
954,m,white
955,m,black
956,m,white
957,m,white
958,m,white
959,m,indian
960,f,indian
961,f,indian
962,f,indian
963,m,white
964,m,white
965,f,indian
966,m,white
967,m,black
968,f,indian
969,m,white
970,m,white
971,m,black
972,m,white
973,m,white
974,m,white
975,m,white
976,f,indian
977,m,white
978,m,white
979,m,white
980,m,white
981,m,black
982,m,white
983,f,white
984,m,black
985,m,white
986,m,black
987,m,white
988,m,black
989,m,white
990,m,white
991,m,white
992,f,white
993,f,indian
994,m,white
995,m,black
996,m,white
997,m,white
998,f,black
999,m,white
1000,m,indian
1001,m,white
1002,m,black
1003,m,white
1004,m,white
1005,m,indian
1006,m,white
1007,m,white
1008,m,indian
1009,m,black
1010,m,indian
1011,f,black
1012,f,indian
1013,m,black
1014,m,black
1015,m,white
1016,m,white
1017,m,black
1018,f,indian
1019,m,black
1020,m,hispanic
1021,m,white
1022,m,white
1023,m,indian
1024,m,indian
1025,m,white
1026,f,indian
1027,m,white
1028,m,white
1029,m,white
1030,m,black
1031,m,indian
1032,m,white
1033,f,indian
1034,m,black
1035,m,white
1036,f,indian
1037,m,white
1038,m,indian
1039,m,white
1040,m,white
1041,m,white
1042,m,hispanic
1043,m,white
1044,m,indian
1045,m,white
1046,m,black
1047,m,white
1048,f,indian
1049,f,indian
1050,m,black
1051,m,white
1052,m,indian
1053,m,white
1054,f,indian
1055,m,white
1056,m,white
1057,m,black
1058,m,white
1059,m,white
1060,m,white
1061,m,white
1062,f,white
1063,m,black
1064,m,white
1065,m,black
1066,m,white
1067,m,indian
1068,f,indian
1069,m,black
1070,m,white
1071,m,white
1072,m,white
1073,f,indian
1074,m,black
1075,f,indian
1076,m,white
1077,m,white
1078,m,white
1079,f,indian
1080,f,indian
1081,m,white
1082,m,black
1083,m,white
1084,m,black
1085,m,hispanic
1086,m,white
1087,m,white
1088,m,white
1089,m,white
1090,m,white
1091,m,hispanic
1092,f,hispanic
1093,m,black
1094,m,white
1095,m,white
1096,f,indian
1097,m,white
1098,f,indian
1099,f,indian
1100,f,indian
1101,f,indian
1102,f,indian
1103,m,white
1104,m,white
1105,m,black
1106,m,indian
1107,m,white
1108,m,white
1109,m,black
1110,m,black
1111,m,black
1112,m,white
1113,f,black
1114,m,white
1115,m,white
1116,f,indian
1117,m,black
1118,m,white
1119,f,indian
1120,m,indian
1121,m,white
1122,m,white
1123,m,white
1124,m,white
1125,m,black
1126,f,indian
1127,m,indian
1128,m,black
1129,m,indian
1130,m,white
1131,m,black
1132,m,white
1133,m,white
1134,f,white
1135,m,white
1136,m,black
1137,m,indian
1138,m,white
1139,m,white
1140,m,white
1141,m,white
1142,m,black
1143,m,white
1144,f,indian
1145,f,white
1146,m,white
1147,f,white
1148,f,white
1149,m,black
1150,m,black
1151,m,white
1152,m,white
1153,m,black
1154,m,white
1155,m,white
1156,m,white
1157,m,white
1158,m,white
1159,m,white
1160,m,white
1161,m,white
1162,m,black
1163,m,white
1164,m,indian
1165,f,indian
1166,m,white
1167,m,black
1168,m,indian
1169,m,white
1170,m,black
1171,m,white
1172,f,black
1173,m,hispanic
1174,m,white
1175,m,indian
1176,f,indian
1177,m,white
1178,m,white
1179,m,white
1180,m,white
1181,m,white
1182,f,indian
1183,m,white
1184,m,black
1185,m,white
1186,f,indian
1187,m,black
1188,m,black
1189,m,indian
1190,m,black
1191,f,indian
1192,f,indian
1193,m,white
1194,f,white
1195,f,black
1196,m,indian
1197,m,white
1198,m,black
1199,m,black
1200,m,white
1201,m,white
1202,m,indian
1203,f,indian
1204,m,black
1205,m,black
1206,m,white
1207,m,black
1208,m,white
1209,m,white
1210,m,indian
1211,m,white
1212,m,indian
1213,m,white
1214,m,white
1215,m,white
1216,f,white
1217,m,indian
1218,f,indian
1219,f,indian
1220,m,indian
1221,m,white
1222,f,indian
1223,m,white
1224,m,black
1225,f,indian
1226,m,indian
1227,m,white
1228,m,white
1229,m,white
1230,f,indian
1231,m,black
1232,f,indian
1233,f,indian
1234,m,white
1235,m,black
1236,m,black
1237,m,indian
1238,m,white
1239,m,white
1240,m,white
1241,f,black
1242,m,white
1243,m,white
1244,m,white
1245,m,black
1246,m,white
1247,m,white
1248,m,white
1249,f,white
1250,m,black
1251,m,black
1252,f,indian
1253,f,black
1254,m,indian
1255,m,white
1256,m,white
1257,m,white
1258,m,black
1259,m,black
1260,m,indian
1261,m,white
1262,m,indian
1263,m,black
1264,m,white
1265,m,black
1266,m,white
1267,m,white
1268,m,white
1269,m,black
1270,m,black
1271,m,white
1272,m,white
1273,m,black
1274,m,black
1275,m,indian
1276,m,white
1277,m,white
1278,m,hispanic
1279,m,indian
1280,m,white
1281,m,black
1282,f,black
1283,f,indian
1284,m,white
1285,f,white
1286,f,indian
1287,f,white
1288,m,black
1289,m,white
1290,m,white
1291,m,white
1292,m,white
1293,m,black
1294,m,white
1295,m,white
1296,m,white
1297,m,white
1298,m,white
1299,m,black
1300,f,indian
1301,m,indian
1302,m,white
1303,f,black
1304,m,black
1305,f,hispanic
1306,m,white
1307,m,black
1308,f,white
1309,m,black
1310,m,black
1311,m,indian
1312,m,white
1313,m,white
1314,m,white
1315,m,black
1316,m,indian
1317,f,indian
1318,m,white
1319,m,white
1320,m,white
1321,m,white
1322,m,black
1323,m,indian
1324,m,black
1325,m,white
1326,m,black
1327,m,white
1328,m,white
1329,m,white
1330,f,black
1331,m,indian
1332,f,indian
1333,m,white
1334,m,white
1335,m,black
1336,m,white
1337,m,black
1338,m,white
1339,m,white
1340,m,indian
1341,m,white
1342,m,white
1343,f,white
1344,m,black
1345,m,white
1346,m,indian
1347,f,white
1348,m,indian
1349,f,indian
1350,f,indian
1351,m,white
1352,m,white
1353,m,hispanic
1354,m,indian
1355,m,white
1356,m,white
1357,f,indian
1358,m,black
1359,m,white
1360,m,black
1361,m,white
1362,m,black
1363,f,indian
1364,m,black
1365,m,white
1366,m,black
1367,m,black
1368,m,black
1369,m,white
1370,m,white
1371,m,white
1372,m,white
1373,m,white
1374,m,black
1375,m,black
1376,m,white
1377,m,white
1378,m,black
1379,m,white
1380,f,black
1381,f,black
1382,f,indian
1383,m,indian
1384,m,indian
1385,m,black
1386,m,white
1387,m,black
1388,m,indian
1389,m,white
1390,m,black
1391,m,white
1392,f,white
1393,m,white
1394,f,indian
1395,m,white
1396,m,indian
1397,m,white
1398,m,black
1399,m,black
1400,m,black
1401,m,white
1402,m,white
1403,m,black
1404,m,black
1405,m,black
1406,m,black
1407,m,indian
1408,m,white
1409,f,indian
1410,m,black
1411,f,indian
1412,m,white
1413,f,indian
1414,m,black
1415,m,white
1416,m,black
1417,m,white
1418,m,indian
1419,m,indian
1420,m,black
1421,m,white
1422,m,white
1423,f,black
1424,m,white
1425,m,white
1426,m,indian
1427,m,white
1428,m,white
1429,m,indian
1430,m,white
1431,m,white
1432,m,white
1433,m,indian
1434,f,indian
1435,m,white
1436,m,white
1437,f,indian
1438,m,indian
1439,m,white
1440,m,black
1441,m,white
1442,m,black
1443,f,indian
1444,f,indian
1445,m,white
1446,m,black
1447,m,white
1448,m,black
1449,f,indian
1450,m,white
1451,m,white
1452,m,black
1453,m,black
1454,m,white
1455,m,white
1456,m,white
1457,m,white
1458,m,black
1459,f,indian
1460,m,white
1461,f,indian
1462,m,indian
1463,m,white
1464,m,white
1465,m,white
1466,m,black
1467,m,hispanic
1468,m,white
1469,f,indian
1470,m,white
1471,m,black
1472,f,indian
1473,f,indian
1474,m,white
1475,m,black
1476,m,white
1477,m,indian
1478,m,white
1479,m,black
1480,m,white
1481,m,indian
1482,m,white
1483,f,indian
1484,m,indian
1485,m,indian
1486,m,black
1487,f,indian
1488,m,black
1489,f,white
1490,m,black
1491,m,indian
1492,m,white
1493,m,white
1494,m,white
1495,f,indian
1496,m,white
1497,m,white
1498,m,indian
1499,m,black
1500,m,white
1501,f,indian
1502,m,black
1503,m,white
1504,f,indian
1505,m,hispanic
1506,f,indian
1507,m,black
1508,m,white
1509,f,white
1510,m,black
1511,m,white
1512,m,indian
1513,m,black
1514,m,black
1515,m,white
1516,m,white
1517,m,white
1518,f,black
1519,m,white
1520,m,black
1521,m,white
1522,m,white
1523,m,white
1524,f,indian
1525,m,black
1526,m,indian
1527,m,indian
1528,m,black
1529,f,indian
1530,f,indian
1531,f,indian
1532,m,white
1533,m,black
1534,f,indian
1535,m,black
1536,m,indian
1537,m,white
1538,f,black
1539,f,black
1540,m,indian
1541,f,indian
1542,m,white
1543,m,black
1544,m,white
1545,m,indian
1546,f,black
1547,m,black
1548,m,black
1549,m,indian
1550,m,black
1551,f,indian
1552,m,indian
1553,f,indian
1554,m,white
1555,m,white
1556,m,black
1557,f,black
1558,m,white
1559,m,black
1560,m,white
1561,m,black
1562,m,white
1563,m,white
1564,m,white
1565,m,black
1566,m,white
1567,m,black
1568,f,indian
1569,m,white
1570,m,white
1571,m,white
1572,f,white
1573,m,black
1574,f,indian
1575,m,white
1576,m,black
1577,f,black
1578,m,white
1579,f,black
1580,m,white
1581,f,indian
1582,m,white
1583,m,white
1584,m,white
1585,m,black
1586,f,indian
1587,f,white
1588,m,white
1589,m,indian
1590,m,white
1591,f,white
1592,m,indian
1593,m,white
1594,m,white
1595,m,black
1596,m,black
1597,m,white
1598,m,indian
1599,m,black
1600,m,hispanic
1601,m,black
1602,m,white
1603,f,white
1604,f,black
1605,m,indian
1606,f,indian
1607,f,white
1608,f,black
1609,f,white
1610,f,white
1611,m,black
1612,m,white
1613,m,white
1614,m,hispanic
1615,m,white
1616,m,indian
1617,m,white
1618,m,white
1619,m,white
1620,m,white
1621,m,white
1622,m,white
1623,m,white
1624,f,indian
1625,m,white
1626,m,black
1627,m,black
1628,m,hispanic
1629,m,white
1630,m,black
1631,m,black
1632,m,white
1633,m,white
1634,m,indian
1635,m,white
1636,m,white
1637,m,white
1638,m,black
1639,m,black
1640,m,white
1641,m,white
1642,m,white
1643,m,indian
1644,m,white
1645,m,white
1646,m,hispanic
1647,f,indian
1648,m,black
1649,m,black
1650,m,white
1651,m,black
1652,m,white
1653,m,black
1654,m,indian
1655,m,black
1656,m,white
1657,m,indian
1658,m,white
1659,m,indian
1660,m,black
1661,m,black
1662,m,black
1663,m,white
1664,m,indian
1665,m,black
1666,m,white
1667,m,black
1668,m,white
1669,m,indian
1670,m,indian
1671,m,black
1672,m,white
1673,f,indian
1674,m,black
1675,m,indian
1676,m,black
1677,m,black
1678,m,white
1679,m,black
1680,m,black
1681,m,indian
1682,m,white
1683,f,black
1684,m,white
1685,m,white
1686,m,black
1687,m,white
1688,m,indian
1689,m,white
1690,m,white
1691,m,white
1692,f,indian
1693,m,white
1694,m,black
1695,m,white
1696,m,indian
1697,m,white
1698,m,white
1699,m,indian
1700,m,indian
1701,m,white
1702,m,white
1703,m,white
1704,m,white
1705,m,white
1706,m,white
1707,m,black
1708,m,white
1709,m,black
1710,f,indian
1711,m,black
1712,m,white
1713,m,black
1714,m,white
1715,m,black
1716,m,white
1717,m,black
1718,m,hispanic
1719,m,black
1720,m,indian
1721,m,indian
1722,m,white
1723,m,white
1724,m,indian
1725,m,white
1726,m,hispanic
1727,m,white
1728,m,white
1729,m,white
1730,f,hispanic
1731,m,white
1732,f,white
1733,f,indian
1734,m,white
1735,m,black
1736,m,black
1737,f,indian
1738,m,white
1739,m,black
1740,m,white
1741,m,white
1742,m,white
1743,m,white
1744,m,white
1745,m,black
1746,m,white
1747,m,indian
1748,m,white
1749,m,indian
1750,f,indian
1751,m,white
1752,m,white
1753,m,white
1754,m,black
1755,m,white
1756,m,white
1757,m,black
1758,m,black
1759,m,black
1760,f,indian
1761,m,white
1762,m,black
1763,m,black
1764,m,white
1765,m,white
1766,m,black
1767,m,hispanic
1768,m,hispanic
1769,m,white
1770,f,white
1771,m,white
1772,m,white
1773,m,white
1774,m,black
1775,m,white
1776,m,black
1777,m,hispanic
1778,m,black
1779,m,white
1780,m,white
1781,m,white
1782,m,indian
1783,m,white
1784,m,white
1785,m,black
1786,f,black
1787,m,indian
1788,f,indian
1789,m,indian
1790,m,indian
1791,f,white
1792,m,indian
1793,m,white
1794,m,white
1795,m,white
1796,m,white
1797,m,indian
1798,m,black
1799,m,black
1800,m,white
1801,m,white
1802,f,black
1803,f,indian
1804,m,white
1805,m,white
1806,m,black
1807,m,white
1808,f,indian
1809,m,black
1810,f,black
1811,m,black
1812,m,black
1813,m,white
1814,m,black
1815,m,indian
1816,m,white
1817,m,white
1818,m,white
1819,f,white
1820,m,white
1821,m,white
1822,m,white
1823,f,indian
1824,m,white
1825,m,black
1826,m,hispanic
1827,f,indian
1828,f,black
1829,f,white
1830,m,white
1831,m,white
1832,m,white
1833,m,white
1834,m,hispanic
1835,m,white
1836,f,indian
1837,m,white
1838,m,white
1839,m,white
1840,m,black
1841,m,indian
1842,m,white
1843,m,white
1844,f,indian
1845,m,black
1846,m,white
1847,m,white
1848,m,white
1849,m,white
1850,m,white
1851,m,white
1852,f,indian
1853,m,white
1854,m,black
1855,m,black
1856,m,white
1857,m,white
1858,m,indian
1859,m,white
1860,f,indian
1861,m,black
1862,m,black
1863,m,white
1864,m,black
1865,f,indian
1866,m,white
1867,m,black
1868,m,black
1869,m,black
1870,m,white
1871,m,white
1872,m,indian
1873,m,indian
1874,m,black
1875,m,black
1876,m,white
1877,m,white
1878,f,indian
1879,m,indian
1880,m,white
1881,m,black
1882,m,white
1883,m,black
1884,m,black
1885,m,white
1886,f,white
1887,f,white
1888,m,black
1889,m,black
1890,f,indian
1891,m,black
1892,m,white
1893,m,black
1894,m,black
1895,f,black
1896,m,black
1897,m,white
1898,m,white
1899,m,black
1900,m,black
1901,m,indian
1902,m,black
1903,m,white
1904,m,white
1905,m,black
1906,m,indian
1907,m,white
1908,m,white
1909,m,white
1910,m,black
1911,m,white
1912,f,white
1913,m,black
1914,m,black
1915,m,black
1916,m,black
1917,m,indian
1918,m,white
1919,m,indian
1920,m,black
1921,m,hispanic
1922,m,white
1923,m,white
1924,m,white
1925,m,white
1926,m,black
1927,m,white
1928,m,black
1929,m,white
1930,m,white
1931,m,black
1932,m,white
1933,m,black
1934,m,white
1935,m,white
1936,m,indian
1937,m,white
1938,m,white
1939,m,white
1940,m,black
1941,m,white
1942,m,indian
1943,m,indian
1944,m,white
1945,m,black
1946,m,white
1947,m,black
1948,m,white
1949,f,white
1950,m,white
1951,m,indian
1952,f,indian
1953,m,white
1954,m,white
1955,f,white
1956,m,hispanic
1957,m,white
1958,f,indian
1959,m,black
1960,m,black
1961,m,indian
1962,m,black
1963,m,white
1964,f,indian
1965,m,black
1966,f,white
1967,m,black
1968,m,black
1969,m,white
1970,m,white
1971,m,black
1972,m,white
1973,f,indian
1974,m,black
1975,m,indian
1976,m,white
1977,m,black
1978,m,white
1979,f,indian
1980,m,black
1981,m,black
1982,m,black
1983,m,white
1984,m,black
1985,m,white
1986,m,black
1987,m,black
1988,m,white
1989,m,black
1990,f,white
1991,m,white
1992,f,indian
1993,m,white
1994,m,white
1995,m,indian
1996,m,white
1997,f,indian
1998,m,black
1999,m,black
2000,m,hispanic
2001,m,indian
2002,m,white
2003,m,black
2004,f,indian
2005,m,black
2006,m,black
2007,m,white
2008,f,indian
2009,m,white
2010,f,indian
2011,m,black
2012,m,white
2013,f,indian
2014,m,black
2015,m,black
2016,m,black
2017,m,black
2018,f,indian
2019,m,white
2020,m,white
2021,m,white
2022,m,indian
2023,m,black
2024,m,white
2025,f,white
2026,m,black
2027,m,white
2028,m,indian
2029,f,white
2030,m,white
2031,m,black
2032,m,black
2033,m,black
2034,m,black
2035,m,white
2036,m,white
2037,m,white
2038,m,white
2039,m,white
2040,m,white
2041,m,black
2042,m,black
2043,m,white
2044,f,indian
2045,m,black
2046,m,white
2047,m,black
2048,m,black
2049,f,indian
2050,m,white
2051,m,white
2052,m,white
2053,m,black
2054,m,white
